dataset_source,external_animal_id,campaign,breed,sex,abdominal_width_cm,abdominal_width_2_cm,hip_height_cm,withers_height_cm,wih_cm,bh_cm,body_length_cm,chest_girth_cm,thoracic_depth_cm,real_weight_kg,notes
Wang2024/Zenodo-11277007,207,8-3,Simmental,male,57.33,62.02,112.49,116.89,107.43,106.33,84.21,,,240,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,208,15-3,Simmental,male,51.74,67.79,112.57,115.18,111.79,110.33,70.92,,,228,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,212,8-1,Simmental,male,49.37,62.27,115.32,117.78,111.35,109.46,94.58,,,222,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,212,8-3,Simmental,male,41.25,55.42,114.79,117.39,111.15,108.42,88.59,,,222,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,212,8-5,Simmental,male,48.83,53.59,115.22,117.36,111.49,106.41,78.54,,,222,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,212,8-2,Simmental,male,48.84,54.33,115.02,117.96,110.93,108.58,85.98,,,222,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,215,10-2,Simmental,male,58.00,64.82,111.16,115.57,104.39,103.80,86.92,,,223,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,215,10-1,Simmental,male,51.11,62.45,114.60,117.45,108.95,109.25,68.67,,,223,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,216,15-5,Simmental,male,51.96,75.94,116.51,120.52,108.30,106.94,74.07,,,225,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,219,15-5,Simmental,male,47.55,66.34,115.62,117.99,106.15,104.94,73.82,,,216,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,220,15-5,Simmental,male,53.05,66.68,111.37,114.34,107.20,104.85,73.17,,,209,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,221,10-5,Simmental,male,48.72,58.38,113.26,116.84,105.89,96.43,91.40,,,219,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,222,15-5,Simmental,male,51.17,69.59,110.16,115.88,106.08,103.43,99.31,,,213,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,222,15-2,Simmental,male,53.90,64.17,111.41,117.03,111.34,105.11,118.70,,,213,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,222,10-5,Simmental,male,49.42,59.18,109.93,115.55,108.65,101.12,100.46,,,213,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,223,10-2,Simmental,male,57.59,64.08,114.72,116.90,108.17,108.48,73.24,,,207,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,228,15-5,Simmental,male,51.99,61.68,112.13,115.35,110.18,106.48,80.88,,,190,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,229,15-5,Simmental,male,48.14,59.19,106.28,109.98,105.22,101.40,104.04,,,206,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,229,10-1,Simmental,male,46.12,53.08,106.98,109.84,104.03,102.98,90.01,,,206,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,229,15-1,Simmental,male,48.84,57.34,107.99,110.88,98.73,100.64,81.71,,,206,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,8-2,Simmental,male,54.23,59.83,112.65,116.04,102.58,100.36,70.99,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,8-3,Simmental,male,43.29,56.55,114.13,116.81,103.95,99.93,76.25,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,8-1,Simmental,male,46.02,68.19,114.15,117.72,102.86,101.37,75.14,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,10-5,Simmental,male,48.47,63.44,112.46,116.29,102.39,99.02,76.43,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,10-3,Simmental,male,53.75,58.44,114.25,117.20,103.43,102.00,72.64,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,230,8-5,Simmental,male,42.57,57.70,113.55,116.38,103.94,100.59,73.70,,,188,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,233,15-3,Simmental,male,49.53,61.55,105.02,108.74,100.11,98.56,78.96,,,211,"young bulls, UAV-LiDAR; no chest girth in this modality"
