dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase,53,Hereford,female,,151.0,120.0,63.0,40.0,175.0,408.0,tape morphometrics; rump_width = ilium width
CowDatabase,54,Hereford,female,,135.0,100.0,56.0,36.0,164.0,323.0,tape morphometrics; rump_width = ilium width
CowDatabase,55,Hereford,female,,124.0,100.0,57.0,35.0,165.0,275.0,tape morphometrics; rump_width = ilium width
CowDatabase,56,Hereford,female,,151.0,122.0,63.0,43.0,177.0,409.0,tape morphometrics; rump_width = ilium width
CowDatabase,57,Hereford,female,,138.0,110.0,55.0,40.0,157.0,331.0,tape morphometrics; rump_width = ilium width
CowDatabase,58,Hereford,female,,141.0,118.0,60.0,44.0,177.0,416.0,tape morphometrics; rump_width = ilium width
CowDatabase,59,Hereford,female,,149.0,122.0,60.0,44.0,176.0,417.0,tape morphometrics; rump_width = ilium width
CowDatabase,60,Hereford,female,,141.0,100.0,50.0,35.0,145.0,243.0,tape morphometrics; rump_width = ilium width
CowDatabase,61,Hereford,female,,149.0,121.0,61.0,41.0,176.0,399.0,tape morphometrics; rump_width = ilium width
CowDatabase,62,Hereford,female,,158.0,121.0,68.0,44.0,194.0,492.0,tape morphometrics; rump_width = ilium width
CowDatabase,63,Hereford,female,,172.0,127.0,70.0,51.0,202.0,605.0,tape morphometrics; rump_width = ilium width
CowDatabase,64,Hereford,female,,155.0,122.0,65.0,47.0,190.0,495.0,tape morphometrics; rump_width = ilium width
CowDatabase,65,Hereford,female,,161.0,125.0,68.0,49.0,193.0,565.0,tape morphometrics; rump_width = ilium width
CowDatabase,66,Hereford,female,,142.0,115.0,61.0,43.0,175.0,399.0,tape morphometrics; rump_width = ilium width
CowDatabase,67,Hereford,female,,155.0,120.0,62.0,44.0,186.0,486.0,tape morphometrics; rump_width = ilium width
CowDatabase,68,Hereford,female,,157.0,121.0,67.0,45.0,193.0,495.0,tape morphometrics; rump_width = ilium width
CowDatabase,69,Hereford,female,,159.0,123.0,65.0,43.0,188.0,493.0,tape morphometrics; rump_width = ilium width
CowDatabase,70,Hereford,female,,153.0,122.0,69.0,47.0,203.0,540.0,tape morphometrics; rump_width = ilium width
CowDatabase,71,Hereford,female,,158.0,126.0,66.0,46.0,189.0,486.0,tape morphometrics; rump_width = ilium width
CowDatabase,72,Hereford,female,,158.0,120.0,65.0,47.0,192.0,545.0,tape morphometrics; rump_width = ilium width
CowDatabase,73,Hereford,female,,161.0,124.0,65.0,46.0,184.0,484.0,tape morphometrics; rump_width = ilium width
CowDatabase,74,Hereford,female,,145.0,120.0,65.0,46.0,194.0,411.0,tape morphometrics; rump_width = ilium width
CowDatabase,75,Hereford,female,,155.0,122.0,66.0,44.0,190.0,512.0,tape morphometrics; rump_width = ilium width
CowDatabase,76,Hereford,female,,156.0,125.0,66.0,48.0,197.0,551.0,tape morphometrics; rump_width = ilium width
CowDatabase,77,Hereford,female,,145.0,121.0,62.0,44.0,190.0,479.0,tape morphometrics; rump_width = ilium width
CowDatabase,78,Hereford,female,,153.0,126.0,62.0,45.0,191.0,514.0,tape morphometrics; rump_width = ilium width
CowDatabase,79,Hereford,female,,143.0,122.0,65.0,45.0,202.0,548.0,tape morphometrics; rump_width = ilium width
CowDatabase,80,Hereford,female,,147.0,126.0,65.0,44.0,196.0,548.0,tape morphometrics; rump_width = ilium width
CowDatabase,81,Hereford,female,,154.0,125.0,61.0,41.0,179.0,418.0,tape morphometrics; rump_width = ilium width
CowDatabase,82,Hereford,female,,162.0,130.0,67.0,45.0,198.0,531.0,tape morphometrics; rump_width = ilium width
CowDatabase,83,Hereford,female,,155.0,118.0,65.0,47.0,188.0,512.0,tape morphometrics; rump_width = ilium width
CowDatabase,84,Hereford,female,,155.0,124.0,61.0,44.0,177.0,413.0,tape morphometrics; rump_width = ilium width
CowDatabase,85,Hereford,female,,152.0,122.0,64.0,47.0,207.0,563.0,tape morphometrics; rump_width = ilium width
CowDatabase,86,Hereford,female,,156.0,123.0,64.0,42.0,197.0,511.0,tape morphometrics; rump_width = ilium width
CowDatabase,87,Hereford,female,,162.0,124.0,66.0,45.0,182.0,495.0,tape morphometrics; rump_width = ilium width
CowDatabase,88,Hereford,female,,165.0,121.0,62.0,46.0,199.0,519.0,tape morphometrics; rump_width = ilium width
CowDatabase,89,Hereford,female,,170.0,127.0,70.0,45.0,196.0,549.0,tape morphometrics; rump_width = ilium width
CowDatabase,90,Hereford,female,,155.0,122.0,64.0,45.0,187.0,488.0,tape morphometrics; rump_width = ilium width
CowDatabase,91,Hereford,female,,147.0,115.0,65.0,45.0,195.0,526.0,tape morphometrics; rump_width = ilium width
CowDatabase,92,Hereford,female,,156.0,130.0,68.0,48.0,197.0,573.0,tape morphometrics; rump_width = ilium width
CowDatabase,93,Hereford,female,,152.0,123.0,66.0,49.0,195.0,543.0,tape morphometrics; rump_width = ilium width
CowDatabase,94,Hereford,female,,148.0,125.0,68.0,48.0,202.0,547.0,tape morphometrics; rump_width = ilium width
CowDatabase,95,Hereford,female,,145.0,118.0,65.0,45.0,190.0,466.0,tape morphometrics; rump_width = ilium width
CowDatabase,96,Hereford,female,,161.0,127.0,62.0,48.0,193.0,530.0,tape morphometrics; rump_width = ilium width
CowDatabase,97,Hereford,female,,154.0,118.0,65.0,49.0,194.0,550.0,tape morphometrics; rump_width = ilium width
CowDatabase,98,Hereford,female,,152.0,122.0,65.0,45.0,195.0,520.0,tape morphometrics; rump_width = ilium width
CowDatabase,99,Hereford,female,,157.0,125.0,67.0,46.0,192.0,511.0,tape morphometrics; rump_width = ilium width
CowDatabase,100,Hereford,female,,148.0,122.0,64.0,47.0,195.0,532.0,tape morphometrics; rump_width = ilium width
CowDatabase,101,Hereford,female,,159.0,124.0,70.0,44.0,192.0,499.0,tape morphometrics; rump_width = ilium width
CowDatabase,102,Hereford,female,,153.0,132.0,69.0,46.0,201.0,520.0,tape morphometrics; rump_width = ilium width
CowDatabase,103,Hereford,female,,156.0,125.0,69.0,49.0,197.0,535.0,tape morphometrics; rump_width = ilium width
