dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase2,57,Aberdeen Angus,female,,,144.0,,,206.0,589.0,Voronezh cohort; 4 measurements only
CowDatabase2,58,Aberdeen Angus,female,,,139.0,,,222.0,615.0,Voronezh cohort; 4 measurements only
CowDatabase2,59,Aberdeen Angus,female,,,137.0,,,219.0,649.0,Voronezh cohort; 4 measurements only
CowDatabase2,60,Aberdeen Angus,female,,,143.0,,,210.0,632.0,Voronezh cohort; 4 measurements only
CowDatabase2,61,Aberdeen Angus,female,,,142.0,,,218.0,656.0,Voronezh cohort; 4 measurements only
CowDatabase2,62,Aberdeen Angus,female,,,139.0,,,213.0,588.0,Voronezh cohort; 4 measurements only
CowDatabase2,63,Aberdeen Angus,female,,,147.0,,,220.0,657.0,Voronezh cohort; 4 measurements only
CowDatabase2,64,Aberdeen Angus,female,,,146.0,,,222.0,650.0,Voronezh cohort; 4 measurements only
CowDatabase2,65,Aberdeen Angus,female,,,147.0,,,215.0,579.0,Voronezh cohort; 4 measurements only
CowDatabase2,66,Aberdeen Angus,female,,,144.0,,,217.0,613.0,Voronezh cohort; 4 measurements only
CowDatabase2,67,Aberdeen Angus,female,,,145.0,,,219.0,646.0,Voronezh cohort; 4 measurements only
CowDatabase2,68,Aberdeen Angus,female,,,148.0,,,213.0,589.0,Voronezh cohort; 4 measurements only
CowDatabase2,69,Aberdeen Angus,female,,,144.0,,,220.0,619.0,Voronezh cohort; 4 measurements only
CowDatabase2,70,Aberdeen Angus,female,,,146.0,,,219.0,618.0,Voronezh cohort; 4 measurements only
CowDatabase2,71,Aberdeen Angus,female,,,138.0,,,209.0,573.0,Voronezh cohort; 4 measurements only
CowDatabase2,72,Aberdeen Angus,female,,,143.0,,,226.0,603.0,Voronezh cohort; 4 measurements only
CowDatabase2,73,Aberdeen Angus,female,,,143.0,,,218.0,660.0,Voronezh cohort; 4 measurements only
CowDatabase2,74,Aberdeen Angus,female,,,139.0,,,215.0,556.0,Voronezh cohort; 4 measurements only
CowDatabase2,75,Aberdeen Angus,female,,,145.0,,,209.0,575.0,Voronezh cohort; 4 measurements only
CowDatabase2,76,Aberdeen Angus,female,,,146.0,,,212.0,645.0,Voronezh cohort; 4 measurements only
CowDatabase2,77,Aberdeen Angus,female,,,139.0,,,221.0,632.0,Voronezh cohort; 4 measurements only
CowDatabase2,78,Aberdeen Angus,female,,,137.0,,,207.0,566.0,Voronezh cohort; 4 measurements only
CowDatabase2,79,Aberdeen Angus,female,,,139.0,,,205.0,600.0,Voronezh cohort; 4 measurements only
CowDatabase2,80,Aberdeen Angus,female,,,145.0,,,219.0,679.0,Voronezh cohort; 4 measurements only
CowDatabase2,81,Aberdeen Angus,female,,,141.0,,,220.0,604.0,Voronezh cohort; 4 measurements only
CowDatabase2,82,Aberdeen Angus,female,,,144.0,,,220.0,665.0,Voronezh cohort; 4 measurements only
CowDatabase2,83,Aberdeen Angus,female,,,141.0,,,217.0,597.0,Voronezh cohort; 4 measurements only
CowDatabase2,84,Aberdeen Angus,female,,,139.0,,,210.0,570.0,Voronezh cohort; 4 measurements only
CowDatabase2,85,Aberdeen Angus,female,,,143.0,,,216.0,605.0,Voronezh cohort; 4 measurements only
CowDatabase2,86,Aberdeen Angus,female,,,143.0,,,216.0,595.0,Voronezh cohort; 4 measurements only
CowDatabase2,87,Aberdeen Angus,female,,,144.0,,,217.0,596.0,Voronezh cohort; 4 measurements only
CowDatabase2,88,Aberdeen Angus,female,,,140.0,,,221.0,648.0,Voronezh cohort; 4 measurements only
CowDatabase2,89,Aberdeen Angus,female,,,143.0,,,223.0,607.0,Voronezh cohort; 4 measurements only
CowDatabase2,90,Aberdeen Angus,female,,,143.0,,,221.0,648.0,Voronezh cohort; 4 measurements only
CowDatabase2,91,Aberdeen Angus,female,,,147.0,,,207.0,582.0,Voronezh cohort; 4 measurements only
CowDatabase2,92,Aberdeen Angus,female,,,143.0,,,217.0,581.0,Voronezh cohort; 4 measurements only
CowDatabase2,93,Aberdeen Angus,female,,,142.0,,,217.0,582.0,Voronezh cohort; 4 measurements only
CowDatabase2,94,Aberdeen Angus,female,,,149.0,,,216.0,605.0,Voronezh cohort; 4 measurements only
CowDatabase2,95,Aberdeen Angus,female,,,142.0,,,222.0,592.0,Voronezh cohort; 4 measurements only
CowDatabase2,96,Aberdeen Angus,female,,,141.0,,,220.0,603.0,Voronezh cohort; 4 measurements only
